group_repo,url,language,star,author,project_type,finished
golang/go,https://github.com/golang/go,Go,134648,golang,通用软件项目,true
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,Go,122948,kubernetes,通用软件项目,true
fatedier/frp,https://github.com/fatedier/frp,Go,107282,fatedier,通用软件项目,true
gin-gonic/gin,https://github.com/gin-gonic/gin,Go,88669,gin-gonic,通用软件项目,true
gohugoio/hugo,https://github.com/gohugoio/hugo,Go,88527,gohugoio,通用软件项目,true
syncthing/syncthing,https://github.com/syncthing/syncthing,Go,85247,syncthing,通用软件项目,true
junegunn/fzf,https://github.com/junegunn/fzf,Go,80936,junegunn,通用软件项目,true
jesseduffield/lazygit,https://github.com/jesseduffield/lazygit,Go,79215,jesseduffield,通用软件项目,true
caddyserver/caddy,https://github.com/caddyserver/caddy,Go,73271,caddyserver,通用软件项目,true
moby/moby,https://github.com/moby/moby,Go,71670,moby,通用软件项目,true
nektos/act,https://github.com/nektos/act,Go,70768,nektos,通用软件项目,true
prometheus/prometheus,https://github.com/prometheus/prometheus,Go,64455,prometheus,通用软件项目,true
traefik/traefik,https://github.com/traefik/traefik,Go,63604,traefik,通用软件项目,true
usememos/memos,https://github.com/usememos/memos,Go,60662,usememos,通用软件项目,true
FiloSottile/mkcert,https://github.com/FiloSottile/mkcert,Go,59064,FiloSottile,通用软件项目,true
pocketbase/pocketbase,https://github.com/pocketbase/pocketbase,Go,59050,pocketbase,通用软件项目,true
rclone/rclone,https://github.com/rclone/rclone,Go,57818,rclone,通用软件项目,true
go-gitea/gitea,https://github.com/go-gitea/gitea,Go,56249,go-gitea,通用软件项目,true
wagoodman/dive,https://github.com/wagoodman/dive,Go,54223,wagoodman,通用软件项目,true
etcd-io/etcd,https://github.com/etcd-io/etcd,Go,51810,etcd-io,通用软件项目,true
jesseduffield/lazydocker,https://github.com/jesseduffield/lazydocker,Go,51330,jesseduffield,通用软件项目,true
ethereum/go-ethereum,https://github.com/ethereum/go-ethereum,Go,51132,ethereum,通用软件项目,true
AlistGo/alist,https://github.com/AlistGo/alist,Go,49646,AlistGo,通用软件项目,true
hashicorp/terraform,https://github.com/hashicorp/terraform,Go,48653,hashicorp,通用软件项目,true
gogs/gogs,https://github.com/gogs/gogs,Go,47597,gogs,通用软件项目,true
v2ray/v2ray-core,https://github.com/v2ray/v2ray-core,Go,46868,v2ray,通用软件项目,true
coreybutler/nvm-windows,https://github.com/coreybutler/nvm-windows,Go,46773,coreybutler,通用软件项目,true
cli/cli,https://github.com/cli/cli,Go,44794,cli,命令行工具,true
spf13/cobra,https://github.com/spf13/cobra,Go,44081,spf13,通用软件项目,true
astaxie/build-web-application-with-golang,https://github.com/astaxie/build-web-application-with-golang,Go,43916,astaxie,通用软件项目,true
charmbracelet/bubbletea,https://github.com/charmbracelet/bubbletea,Go,43076,charmbracelet,通用软件项目,true
danielmiessler/Fabric,https://github.com/danielmiessler/Fabric,Go,42303,danielmiessler,通用软件项目,true
pingcap/tidb,https://github.com/pingcap/tidb,Go,40151,pingcap,通用软件项目,true
juanfont/headscale,https://github.com/juanfont/headscale,Go,39945,juanfont,通用软件项目,true
evanw/esbuild,https://github.com/evanw/esbuild,Go,39919,evanw,通用软件项目,true
gofiber/fiber,https://github.com/gofiber/fiber,Go,39831,gofiber,通用软件项目,true
go-gorm/gorm,https://github.com/go-gorm/gorm,Go,39791,go-gorm,通用软件项目,true
XTLS/Xray-core,https://github.com/XTLS/Xray-core,Go,39503,XTLS,通用软件项目,true
QuantumNous/new-api,https://github.com/QuantumNous/new-api,Go,38486,QuantumNous,网站后端,true
istio/istio,https://github.com/istio/istio,Go,38213,istio,通用软件项目,true
docker/compose,https://github.com/docker/compose,Go,37513,docker,通用软件项目,true
router-for-me/CLIProxyAPI,https://github.com/router-for-me/CLIProxyAPI,Go,37291,router-for-me,通用软件项目,true
harness/harness,https://github.com/harness/harness,Go,36702,harness,通用软件项目,true
multica-ai/multica,https://github.com/multica-ai/multica,Go,36382,multica-ai,机器学习工程,true
aquasecurity/trivy,https://github.com/aquasecurity/trivy,Go,36368,aquasecurity,通用软件项目,true
1Panel-dev/1Panel,https://github.com/1Panel-dev/1Panel,Go,35860,1Panel-dev,通用软件项目,true
hashicorp/vault,https://github.com/hashicorp/vault,Go,35776,hashicorp,通用软件项目,true
schollz/croc,https://github.com/schollz/croc,Go,35248,schollz,通用软件项目,true
filebrowser/filebrowser,https://github.com/filebrowser/filebrowser,Go,35058,filebrowser,通用软件项目,true
glanceapp/glance,https://github.com/glanceapp/glance,Go,35017,glanceapp,通用软件项目,true
SagerNet/sing-box,https://github.com/SagerNet/sing-box,Go,34895,SagerNet,通用软件项目,true
AdguardTeam/AdGuardHome,https://github.com/AdguardTeam/AdGuardHome,Go,34800,AdguardTeam,通用软件项目,true
wailsapp/wails,https://github.com/wailsapp/wails,Go,34764,wailsapp,通用软件项目,true
restic/restic,https://github.com/restic/restic,Go,34296,restic,通用软件项目,true
v2fly/v2ray-core,https://github.com/v2fly/v2ray-core,Go,34113,v2fly,通用软件项目,true
ehang-io/nps,https://github.com/ehang-io/nps,Go,34077,ehang-io,通用软件项目,true
IceWhaleTech/CasaOS,https://github.com/IceWhaleTech/CasaOS,Go,34061,IceWhaleTech,通用软件项目,true
derailed/k9s,https://github.com/derailed/k9s,Go,33967,derailed,通用软件项目,true
halfrost/LeetCode-Go,https://github.com/halfrost/LeetCode-Go,Go,33776,halfrost,通用软件项目,true
k3s-io/k3s,https://github.com/k3s-io/k3s,Go,33233,k3s-io,通用软件项目,true
zeromicro/go-zero,https://github.com/zeromicro/go-zero,Go,33093,zeromicro,通用软件项目,true
seaweedfs/seaweedfs,https://github.com/seaweedfs/seaweedfs,Go,32870,seaweedfs,通用软件项目,true
tailscale/tailscale,https://github.com/tailscale/tailscale,Go,32478,tailscale,通用软件项目,true
labstack/echo,https://github.com/labstack/echo,Go,32439,labstack,通用软件项目,true
beego/beego,https://github.com/beego/beego,Go,32389,beego,通用软件项目,true
cockroachdb/cockroach,https://github.com/cockroachdb/cockroach,Go,32203,cockroachdb,通用软件项目,true
podman-container-tools/podman,https://github.com/podman-container-tools/podman,Go,32006,podman-container-tools,通用软件项目,true
kubernetes/minikube,https://github.com/kubernetes/minikube,Go,31867,kubernetes,通用软件项目,true
iawia002/lux,https://github.com/iawia002/lux,Go,31403,iawia002,通用软件项目,true
grafana/k6,https://github.com/grafana/k6,Go,30785,grafana,通用软件项目,true
binwiederhier/ntfy,https://github.com/binwiederhier/ntfy,Go,30715,binwiederhier,通用软件项目,true
github/github-mcp-server,https://github.com/github/github-mcp-server,Go,30599,github,网站后端,true
spf13/viper,https://github.com/spf13/viper,Go,30298,spf13,通用软件项目,true
hashicorp/consul,https://github.com/hashicorp/consul,Go,29932,hashicorp,通用软件项目,true
helm/helm,https://github.com/helm/helm,Go,29864,helm,通用软件项目,true
chubin/wttr.in,https://github.com/chubin/wttr.in,Go,29855,chubin,通用软件项目,true
sipeed/picoclaw,https://github.com/sipeed/picoclaw,Go,29367,sipeed,通用软件项目,true
abiosoft/colima,https://github.com/abiosoft/colima,Go,29254,abiosoft,通用软件项目,true
projectdiscovery/nuclei,https://github.com/projectdiscovery/nuclei,Go,29135,projectdiscovery,通用软件项目,true
opentofu/opentofu,https://github.com/opentofu/opentofu,Go,29033,opentofu,通用软件项目,true
micro-editor/micro,https://github.com/micro-editor/micro,Go,28823,micro-editor,通用软件项目,true
goharbor/harbor,https://github.com/goharbor/harbor,Go,28686,goharbor,通用软件项目,true
fyne-io/fyne,https://github.com/fyne-io/fyne,Go,28364,fyne-io,通用软件项目,true
grafana/loki,https://github.com/grafana/loki,Go,28361,grafana,通用软件项目,true
cloudreve/cloudreve,https://github.com/cloudreve/cloudreve,Go,28054,cloudreve,通用软件项目,true
authelia/authelia,https://github.com/authelia/authelia,Go,28034,authelia,通用软件项目,true
go-kit/kit,https://github.com/go-kit/kit,Go,27428,go-kit,通用软件项目,true
Wei-Shaw/sub2api,https://github.com/Wei-Shaw/sub2api,Go,27377,Wei-Shaw,通用软件项目,true
XIU2/CloudflareSpeedTest,https://github.com/XIU2/CloudflareSpeedTest,Go,27236,XIU2,通用软件项目,true
